1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
224,229,231,230,230,230,226,226,228,225,228,229,227,229,237,228,233,243,242,246,242,237,247,229,243,242,238,243,238,228,229,226,223,224,223,227,227,226,225,228,226,227,226,227,226,228,225,225,225,227,225,226
224,229,231,230,230,230,226,226,228,225,228,228,228,229,237,227,233,244,243,246,242,242,246,229,244,242,239,243,238,228,229,226,223,223,224,226,2227,226,225,228,226,227,226,227,226,227,225,224,225,227,225,226
225,229,231,230,230,230,226,226,228,225,228,226,227,229,237,227,233,243,241,246,242,243,246,230,245,242,239,244,238,228,229,226,223,223,223,226,227,226,225,228,226,227,226,227,226,227,225,224,225,227,225,226
227,229,231,229,230,230,226,226,228,224,228,228,225,229,237,227,233,243,243,246,242,241,244,229,243,243,239,244,239,228,229,226,223,223,223,223,227,226,225,228,226,227,226,227,226,227,225,224,225,227,225,225
224,229,229,230,230,230,226,226,228,225,228,228,228,229,237,227,230,243,243,246,242,242,247,229,244,242,239,244,238,228,229,226,223,223,223,226,227,226,224,227,226,227,226,227,226,227,225,224,225,226,225,226
224,229,231,230,230,230,226,226,228,226,227,231,228,229,237,227,233,243,243,246,242,243,247,230,244,242,239,244,239,228,229,226,223,223,223,226,227,226,225,228,226,227,226,227,226,227,225,224,225,227,225,226
222,229,231,230,229,230,223,226,228,225,228,229,228,229,237,227,233,243,243,246,242,243,246,230,245,242,239,243,238,228,229,227,223,223,223,226,227,226,225,228,226,227,226,227,226,227,225,224,225,227,225,226
224,228,231,230,230,228,226,226,228,224,228,228,228,229,237,227,233,243,243,246,242,243,247,230,244,242,239,243,239,228,229,227,224,223,223,226,227,226,225,228,226,227,224,227,225,227,225,224,225,227,225,226
224,229,231,230,230,231,226,226,228,226,228,229,228,229,237,227,233,243,243,246,242,238,246,230,244,242,239,244,239,228,229,226,224,223,223,227,227,226,225,228,225,227,226,227,226,227,225,224,225,227,225,226
224,229,231,230,230,226,226,226,228,226,228,229,228,229,237,227,233,243,243,246,242,243,246,229,244,242,239,244,239,228,229,226,224,223,223,226,227,226,224,228,226,227,227,227,226,227,226,225,225,227,225,226
224,229,231,230,230,230,226,226,228,225,228,228,228,229,237,227,233,243,242,246,242,243,246,229,247,242,237,244,239,228,229,226,223,222,224,226,227,226,225,228,226,227,227,227,226,227,226,224,225,227,225,226
227,229,231,230,231,230,226,226,228,225,228,229,228,229,237,227,233,243,243,246,242,243,247,230,245,242,238,244,238,228,229,227,224,223,224,226,227,225,225,230,226,227,226,227,226,227,225,225,225,227,225,226
224,229,231,229,230,230,227,226,228,226,228,229,228,229,237,227,234,243,243,246,242,242,247,229,244,242,238,244,238,228,229,227,224,223,224,225,227,226,225,228,226,227,226,227,226,228,225,225,225,227,225,226
224,229,231,230,230,230,226,226,228,226,230,229,228,229,238,227,232,243,243,246,242,243,242,229,242,242,239,244,238,228,229,226,224,222,224,225,227,226,225,228,226,227,226,227,226,227,225,225,225,227,225,226
224,229,231,228,230,230,226,226,229,226,228,228,228,229,237,227,232,243,243,246,242,243,247,230,244,243,238,244,233,228,229,227,224,223,224,226,227,226,225,228,226,227,226,227,226,227,225,224,225,227,225,226
